INSERT INTO notifications ( notifId, userID, NMessage, status)
VALUES ( 0, 'Kenya', 'Bennett posted',), 
( 1, 'Bennett', 'Kenya liked your post',), 
( 2, 'Natalia', 'Bennett posted',), 
( 3, 'Bennett', 'Natalia liked your post',), 
( 4, 'Adalberto', 'Bennett posted',), 
( 5, 'Bennett', 'Adalberto liked your post',), 
( 6, 'Josiane_Labadie', 'Bennett posted',), 
( 7, 'Bennett', 'Josiane_Labadie liked your post',), 
( 8, 'Willard', 'Bennett posted',), 
( 9, 'Bennett', 'Willard liked your post',), 
( 10, 'Loyce.Rogahn', 'Bennett posted',), 
( 11, 'Bennett', 'Loyce.Rogahn liked your post',), 
( 12, 'Bennett', 'Kenya commented on your post',), 
( 13, 'Bennett', 'Natalia commented on your post',), 
( 14, 'Bennett', 'Adalberto commented on your post',), 
( 15, 'Bennett', 'Josiane_Labadie commented on your post',), 
( 16, 'Bennett', 'Willard commented on your post',), 
( 17, 'Bennett', 'Loyce.Rogahn commented on your post',), 
( 18, 'Kylie', 'George posted',), 
( 19, 'George', 'Kylie liked your post',), 
( 20, 'Emerald', 'George posted',), 
( 21, 'George', 'Emerald liked your post',), 
( 22, 'Earnest', 'George posted',), 
( 23, 'George', 'Earnest liked your post',), 
( 24, 'Daisy', 'George posted',), 
( 25, 'George', 'Daisy liked your post',), 
( 26, 'Kendra_Willms', 'George posted',), 
( 27, 'George', 'Kendra_Willms liked your post',), 
( 28, 'Georgiana', 'George posted',), 
( 29, 'George', 'Georgiana liked your post',), 
( 30, 'Jaylin', 'George posted',), 
( 31, 'George', 'Jaylin liked your post',), 
( 32, 'George', 'Kylie commented on your post',), 
( 33, 'George', 'Emerald commented on your post',), 
( 34, 'George', 'Earnest commented on your post',), 
( 35, 'George', 'Daisy commented on your post',), 
( 36, 'George', 'Kendra_Willms commented on your post',), 
( 37, 'George', 'Georgiana commented on your post',), 
( 38, 'George', 'Jaylin commented on your post',), 
( 39, 'Terence.Reichert', 'Darrin posted',), 
( 40, 'Darrin', 'Terence.Reichert liked your post',), 
( 41, 'Max_Gorczany', 'Darrin posted',), 
( 42, 'Darrin', 'Max_Gorczany liked your post',), 
( 43, 'Marlin', 'Darrin posted',), 
( 44, 'Darrin', 'Marlin liked your post',), 
( 45, 'Thelma_Bernier', 'Darrin posted',), 
( 46, 'Darrin', 'Thelma_Bernier liked your post',), 
( 47, 'Felipa.Zboncak', 'Darrin posted',), 
( 48, 'Darrin', 'Felipa.Zboncak liked your post',), 
( 49, 'Erin.Hyatt', 'Darrin posted',), 
( 50, 'Darrin', 'Erin.Hyatt liked your post',), 
( 51, 'Darrin', 'Terence.Reichert commented on your post',), 
( 52, 'Darrin', 'Max_Gorczany commented on your post',), 
( 53, 'Darrin', 'Marlin commented on your post',), 
( 54, 'Darrin', 'Thelma_Bernier commented on your post',), 
( 55, 'Darrin', 'Felipa.Zboncak commented on your post',), 
( 56, 'Darrin', 'Erin.Hyatt commented on your post',), 
( 57, 'Jeffry_Champlin', 'Delta posted',), 
( 58, 'Delta', 'Jeffry_Champlin liked your post',), 
( 59, 'Morton.Lehner', 'Delta posted',), 
( 60, 'Delta', 'Morton.Lehner liked your post',), 
( 61, 'Joan_Bashirian', 'Delta posted',), 
( 62, 'Delta', 'Joan_Bashirian liked your post',), 
( 63, 'Helena', 'Delta posted',), 
( 64, 'Delta', 'Helena liked your post',), 
( 65, 'Anabelle', 'Delta posted',), 
( 66, 'Delta', 'Anabelle liked your post',), 
( 67, 'Junius', 'Delta posted',), 
( 68, 'Delta', 'Junius liked your post',), 
( 69, 'Jovany_Goyette', 'Delta posted',), 
( 70, 'Delta', 'Jovany_Goyette liked your post',), 
( 71, 'Delta', 'Jeffry_Champlin commented on your post',), 
( 72, 'Delta', 'Morton.Lehner commented on your post',), 
( 73, 'Delta', 'Joan_Bashirian commented on your post',), 
( 74, 'Delta', 'Helena commented on your post',), 
( 75, 'Delta', 'Anabelle commented on your post',), 
( 76, 'Delta', 'Junius commented on your post',), 
( 77, 'Delta', 'Jovany_Goyette commented on your post',), 
( 78, 'Brooks.Dickens', 'Vivienne posted',), 
( 79, 'Vivienne', 'Brooks.Dickens liked your post',), 
( 80, 'Lucie.Mills', 'Vivienne posted',), 
( 81, 'Vivienne', 'Lucie.Mills liked your post',), 
( 82, 'Lacey', 'Vivienne posted',), 
( 83, 'Vivienne', 'Lacey liked your post',), 
( 84, 'Rupert', 'Vivienne posted',), 
( 85, 'Vivienne', 'Rupert liked your post',), 
( 86, 'Albertha_Kovacek', 'Vivienne posted',), 
