INSERT INTO activityLog( activityId, userName, activitySummary )
 VALUES ( 0, 'Deven', 'You liked a post'), 
( 1, 'Avery_Douglas', 'You liked a post'), 
( 2, 'Kendra', 'You liked a post'), 
( 3, 'Clementine_Abshire', 'You liked a post'), 
( 4, 'Rosetta.Streich', 'You liked a post'), 
( 5, 'Helen.Becker', 'You liked a post'), 
( 6, 'Rosalind', 'You liked a post'), 
( 7, 'Martina.Boyle', 'You liked a post'), 
( 8, 'Lue', 'You made a post'), 
( 9, 'Drake', 'You liked a post'), 
( 10, 'Giovanna.Pacocha', 'You liked a post'), 
( 11, 'Manuela', 'You liked a post'), 
( 12, 'Nia.Haag', 'You liked a post'), 
( 13, 'Frances.Roob', 'You liked a post'), 
( 14, 'Remington', 'You liked a post'), 
( 15, 'Vidal', 'You liked a post'), 
( 16, 'Ressie', 'You made a comment'), 
( 17, 'Ara', 'You made a post'), 
( 18, 'Brisa', 'You liked a post'), 
( 19, 'Halle', 'You liked a post'), 
( 20, 'Karlee', 'You liked a post'), 
( 21, 'Erin.Hyatt', 'You made a comment'), 
( 22, 'Arnaldo', 'You liked a post'), 
( 23, 'Justyn_Barrows', 'You liked a post'), 
( 24, 'Karlee', 'You liked a post'), 
( 25, 'Morgan_Sauer', 'You liked a post'), 
( 26, 'Maribel.Jenkins', 'You made a comment'), 
( 27, 'Arlene', 'You liked a post'), 
( 28, 'Jada', 'You made a post'), 
( 29, 'Kane.Champlin', 'You liked a post'), 
( 30, 'Josephine', 'You liked a post'), 
( 31, 'Nia.Haag', 'You liked a post'), 
( 32, 'Leanna_Schneider', 'You liked a post'), 
( 33, 'Charlotte', 'You liked a post'), 
( 34, 'Shirley_Towne', 'You liked a post'), 
( 35, 'Pansy', 'You liked a post'), 
( 36, 'Lawson.Jacobson', 'You liked a post'), 
( 37, 'Mike', 'You liked a post'), 
( 38, 'Mireille.Weissnat', 'You made a post'), 
( 39, 'Lorena.Jones', 'You liked a post'), 
( 40, 'Martina.Boyle', 'You made a comment'), 
( 41, 'Ludie_Waters', 'You liked a post'), 
( 42, 'Lucie_Hagenes', 'You liked a post'), 
( 43, 'Chance', 'You liked a post'), 
( 44, 'Melvina.Raynor', 'You liked a post'), 
( 45, 'Talia.Conroy', 'You made a comment'), 
( 46, 'Hardy_Morissette', 'You liked a post'), 
( 47, 'Wyatt.Bayer', 'You liked a post'), 
( 48, 'Tamia.Crooks', 'You liked a post'), 
( 49, 'Antonia', 'You liked a post'), 
( 50, 'Brice', 'You liked a post'), 
( 51, 'Verla', 'You liked a post'), 
( 52, 'Mara_Osinski', 'You liked a post'), 
( 53, 'Jeanie_Reichel', 'You liked a post'), 
( 54, 'Elyse.Hyatt', 'You liked a post'), 
( 55, 'Ignacio', 'You made a comment'), 
( 56, 'Anabelle', 'You liked a post'), 
( 57, 'Cecelia', 'You liked a post'), 
( 58, 'Ellis_Harªann', 'You liked a post'), 
( 59, 'Rodrigo', 'You made a comment'), 
( 60, 'Lottie.Jacobi', 'You liked a post'), 
( 61, 'Norma_Trantow', 'You made a comment'), 
( 62, 'Lorena', 'You liked a post'), 
( 63, 'Lora', 'You liked a post'), 
( 64, 'Anika', 'You liked a post'), 
( 65, 'Zelma_Conn', 'You made a comment'), 
( 66, 'Sylvester.Rodriguez', 'You liked a post'), 
( 67, 'Khalil', 'You liked a post'), 
( 68, 'Pansy', 'You made a post'), 
( 69, 'Agnes', 'You liked a post'), 
( 70, 'Corine', 'You liked a post'), 
( 71, 'Camilla.Morar', 'You liked a post'), 
( 72, 'Justen', 'You liked a post'), 
( 73, 'Maximillian', 'You liked a post'), 
( 74, 'Nichole.Walker', 'You liked a post'), 
( 75, 'Akeem', 'You liked a post'), 
( 76, 'Berenice', 'You liked a post'), 
( 77, 'Melany.Will', 'You liked a post'), 
( 78, 'Shyann.Emmerich', 'You liked a post'), 
( 79, 'Willard', 'You liked a post'), 
( 80, 'Mekhi', 'You liked a post'), 
( 81, 'Kayla_Leannon', 'You liked a post'), 
( 82, 'Bartholome.Stark', 'You liked a post'), 
( 83, 'Rosendo', 'You liked a post'), 
( 84, 'Alessandro', 'You liked a post'), 
( 85, 'Missouri_Funk', 'You liked a post'), 
( 86, 'Merl.Rippin', 'You liked a post'), 
( 87, 'Ethan_Skiles', 'You made a comment'), 
( 88, 'Jimmie.Ritchie', 'You liked a post'), 
( 89, 'Halle', 'You liked a post'), 
( 90, 'Halie.Heaney', 'You liked a post'), 
( 91, 'Elnora.Simonis', 'You liked a post'), 
( 92, 'Josiane_Labadie', 'You liked a post'), 
( 93, 'Alek_Maggio', 'You liked a post'), 
( 94, 'Kenneth', 'You liked a post'), 
( 95, 'Garrick_Lowe', 'You liked a post'), 
( 96, 'Krystal.Turner', 'You liked a post'), 
( 97, 'Haven_Harªann', 'You liked a post'), 
( 98, 'Howell_West', 'You made a comment'), 
( 99, 'Estella', 'You liked a post'), 
( 100, 'Glen', 'You made a post'), 
( 101, 'Timmy', 'You liked a post'), 
( 102, 'Terrance_Doyle', 'You made a comment'), 
( 103, 'Rosalee.Feest', 'You made a comment'), 
( 104, 'Edythe_Dietrich', 'You liked a post'), 
( 105, 'Kamron', 'You made a post'), 
( 106, 'Roman.Brakus', 'You liked a post'), 
( 107, 'Roman.Brakus', 'You liked a post'), 
( 108, 'Lorna', 'You liked a post'), 
( 109, 'Kirstin', 'You liked a post'), 
( 110, 'Camden', 'You liked a post'), 
( 111, 'Travis', 'You made a post'), 
( 112, 'Milan', 'You liked a post'), 
( 113, 'George', 'You made a post'), 
( 114, 'Marjory_Leannon', 'You liked a post'), 
( 115, 'Hiram_Hand', 'You liked a post'), 
( 116, 'Roman.Brakus', 'You liked a post'), 
( 117, 'Sophia', 'You made a post'), 
( 118, 'Kamryn.Gorczany', 'You made a post'), 
( 119, 'Max_Gorczany', 'You liked a post'), 
( 120, 'Llewellyn', 'You liked a post'), 
( 121, 'Bartholome_Kutch', 'You liked a post'), 
( 122, 'Devin', 'You liked a post'), 
( 123, 'Dina', 'You liked a post'), 
( 124, 'Cade', 'You liked a post'), 
( 125, 'Taylor.O'Conner', 'You liked a post'), 
( 126, 'Francis_Monahan', 'You liked a post'), 
( 127, 'Cordia.Dietrich', 'You liked a post'), 
( 128, 'Zion.Kovacek', 'You liked a post'), 
( 129, 'Anastasia', 'You made a post'), 
( 130, 'Annamae', 'You made a comment'), 
( 131, 'Adonis', 'You liked a post'), 
( 132, 'Garret_Bauch', 'You liked a post'), 
( 133, 'Shirley_Towne', 'You liked a post'), 
( 134, 'Kelsi_Swaniawski', 'You liked a post'), 
( 135, 'Cleveland', 'You liked a post'), 
( 136, 'Morgan_Sauer', 'You made a comment'), 
( 137, 'Rigoberto', 'You liked a post'), 
( 138, 'Lacey', 'You made a post'), 
( 139, 'Ericka.Grant', 'You liked a post'), 
( 140, 'Rigoberto', 'You liked a post'), 
( 141, 'Stuart', 'You liked a post'), 
( 142, 'Natalia', 'You made a comment'), 
( 143, 'Norma_Trantow', 'You liked a post'), 
( 144, 'Raoul_Kertzmann', 'You liked a post'), 
( 145, 'Sandrine.Ruecker', 'You liked a post'), 
( 146, 'Armando_Grimes', 'You liked a post'), 
( 147, 'Stanford_White', 'You liked a post'), 
( 148, 'Anabelle', 'You liked a post'), 
( 149, 'Luella_Hintz', 'You made a comment'), 
( 150, 'Cleo', 'You liked a post'), 
( 151, 'Deshaun.Daugherty', 'You liked a post'), 
( 152, 'Jon_Howe', 'You made a comment'), 
( 153, 'Arlene', 'You liked a post'), 
( 154, 'Delia_Hermann', 'You liked a post'), 
( 155, 'Osborne', 'You liked a post'), 
( 156, 'Gerson_Mante', 'You liked a post'), 
( 157, 'Vicky', 'You liked a post'), 
( 158, 'Talia.Conroy', 'You made a post'), 
( 159, 'Erin.Hyatt', 'You liked a post'), 
( 160, 'Maximillia_Sipes', 'You liked a post'), 
( 161, 'Weldon_Waelchi', 'You liked a post'), 
( 162, 'Logan', 'You liked a post'), 
( 163, 'Karley', 'You liked a post'), 
( 164, 'Florencio.Kunde', 'You liked a post'), 
( 165, 'Liam.Runte', 'You liked a post'), 
( 166, 'Letha', 'You liked a post'), 
( 167, 'Monique', 'You liked a post'), 
( 168, 'Kristy.Schuster', 'You liked a post'), 
( 169, 'Ericka.Grant', 'You liked a post'), 
( 170, 'Donnie', 'You liked a post'), 
( 171, 'Minerva.Corkery', 'You liked a post'), 
( 172, 'Joannie', 'You liked a post'), 
( 173, 'Paolo', 'You liked a post'), 
( 174, 'Fausto', 'You liked a post'), 
( 175, 'Stephon', 'You liked a post'), 
( 176, 'Sylvester', 'You liked a post'), 
( 177, 'Antonia', 'You liked a post'), 
( 178, 'Millie_Hessel', 'You made a post'), 
( 179, 'Madaline_Hoeger', 'You made a post'), 
( 180, 'Heber.O'Kon', 'You made a comment'), 
( 181, 'Emerald', 'You liked a post'), 
( 182, 'Ellie', 'You liked a post'), 
( 183, 'Kenneth', 'You liked a post'), 
( 184, 'Earnest', 'You liked a post'), 
( 185, 'Zechariah', 'You liked a post'), 
( 186, 'Verla.Mertz', 'You liked a post'), 
( 187, 'Justen', 'You liked a post'), 
( 188, 'Grayson_Herzog', 'You liked a post'), 
( 189, 'Kirsten.Cassin', 'You liked a post'), 
( 190, 'Alexa.Johnston', 'You liked a post'), 
( 191, 'Barney', 'You liked a post'), 
( 192, 'Gilda', 'You made a comment'), 
( 193, 'Fred_Waters', 'You made a post'), 
( 194, 'Earline_Nader', 'You made a comment'), 
( 195, 'Lorenz', 'You liked a post'), 
( 196, 'Rupert', 'You made a comment'), 
( 197, 'Coty', 'You liked a post'), 
( 198, 'Frederique', 'You liked a post'), 
( 199, 'Lessie', 'You liked a post'), 
( 200, 'Bartholome.Stark', 'You liked a post'), 
( 201, 'Talia.Conroy', 'You liked a post'), 
( 202, 'Kristy.Schuster', 'You liked a post'), 
( 203, 'Maxie', 'You made a comment'), 
( 204, 'Earnest', 'You made a comment'), 
( 205, 'Morgan_Sauer', 'You liked a post'), 
( 206, 'Natalia', 'You liked a post'), 
( 207, 'Glen', 'You liked a post'), 
( 208, 'Terence.Reichert', 'You liked a post'), 
( 209, 'Anastasia', 'You liked a post'), 
( 210, 'Katharina_Kozey', 'You liked a post'), 
( 211, 'Buford.Paucek', 'You liked a post'), 
( 212, 'Giovanni.Walker', 'You liked a post'), 
( 213, 'Erna_Dach', 'You liked a post'), 
( 214, 'Martina.Boyle', 'You made a post'), 
( 215, 'Erna', 'You liked a post'), 
( 216, 'Danielle_Gislason', 'You liked a post'), 
( 217, 'Kassandra.Ondricka', 'You made a post'), 
( 218, 'Dean.Bartell', 'You liked a post'), 
( 219, 'Wayne', 'You liked a post'), 
( 220, 'Elmo_Schmitt', 'You liked a post'), 
( 221, 'Khalil', 'You liked a post'), 
( 222, 'Rosamond.Bode', 'You liked a post'), 
( 223, 'Hadley', 'You liked a post'), 
( 224, 'Helen.Becker', 'You liked a post'), 
( 225, 'Keanu_Rogahn', 'You made a comment'), 
( 226, 'Jackson', 'You made a comment'), 
( 227, 'Cleveland', 'You made a comment'), 
( 228, 'Adeline', 'You liked a post'), 
( 229, 'Ludie', 'You liked a post'), 
( 230, 'Kadin', 'You liked a post'), 
( 231, 'Derek.Auer', 'You liked a post'), 
( 232, 'Susana', 'You liked a post'), 
( 233, 'Sarina', 'You liked a post'), 
( 234, 'Domingo.Monahan', 'You liked a post'), 
( 235, 'Rafael_Emmerich', 'You liked a post'), 
( 236, 'Modesta.Stark', 'You liked a post'), 
( 237, 'Maximillian', 'You made a comment'), 
( 238, 'Prudence.Kuhn', 'You liked a post'), 
( 239, 'Milan', 'You liked a post'), 
( 240, 'Nia.Haag', 'You made a comment'), 
( 241, 'Alia', 'You made a post'), 
( 242, 'Halie.Heaney', 'You made a post'), 
( 243, 'Glen', 'You liked a post'), 
( 244, 'Max_Gorczany', 'You made a comment'), 
( 245, 'Alvina', 'You made a comment'), 
( 246, 'Martina.Boyle', 'You made a comment'), 
( 247, 'Natalia', 'You made a comment'), 
( 248, 'Donald.Mohr', 'You liked a post'), 
( 249, 'Junius', 'You liked a post'), 
( 250, 'Verlie.Lockman', 'You liked a post'), 
( 251, 'Mathilde', 'You liked a post'), 
( 252, 'Verla', 'You made a comment'), 
( 253, 'Aidan', 'You made a comment'), 
( 254, 'Letha', 'You liked a post'), 
( 255, 'Heber.O'Kon', 'You liked a post'), 
( 256, 'Garrick', 'You liked a post'), 
( 257, 'Hardy_Morissette', 'You liked a post'), 
( 258, 'Brenden', 'You made a comment'), 
( 259, 'Chance', 'You liked a post'), 
( 260, 'Cleo', 'You liked a post'), 
