INSERT INTO friendsReq
VALUES (0,"Rickey_Kuhn","Whitney_Jaskolski"),
(1,"Jillian_Toy","Anissa"),
(2,"Javonte","Aletha"),
(3,"Malika_Kessler","Kaya_Bradtke"),
(4,"Roman.Brakus","Logan"),
(5,"Adonis","Rogers"),
(6,"Maryam.Kuhlman","Maida.Gaylord"),
(7,"Carlos.Cormier","Sid"),
(8,"Jamaal.Goldner","Greg.Beier"),
(9,"Kristy.Schuster","Gay"),
(10,"Michaela.Satterfield","Liam.Runte"),
(11,"D'angelo","Maribel.Jenkins"),
(12,"Caroline","Taylor.O'Conner"),
(13,"Akeem","Sophia"),
(14,"Kenyatta","Friedrich.Nicolas"),
(15,"Curt_McCullough","Thora.Emmerich"),
(16,"Jayda","Rupert"),
(17,"Daphne","Erik.Hettinger"),
(18,"Dannie_Kshlerin","Gertrude.Cormier"),
(19,"Angelo_Haley","Stephon_Nitzsche"),
(20,"Melba.Konopelski","Ruth_Trantow"),
(21,"Tatyana","Kelsi_Swaniawski"),
(22,"Lou","Maeve"),
(23,"Elinor","Adonis"),
(24,"Ward","Raoul_Kertzmann"),
(25,"Javonte","Giovanna.Pacocha"),
(26,"Tyree_Halvorson","Stuart"),
(27,"Millie_Hessel","Solon"),
(28,"Justen","Sylvester"),
(29,"Verdie_Wuckert","Josiah"),
(30,"Bethel.Willms","Heloise.Mayer"),
(31,"Vicky","Clemmie"),
(32,"George","Bryana"),
(33,"Merl.Rippin","Mireya"),
(34,"Clementine","Curt_McCullough"),
(35,"Heaven.Hauck","Kristopher.Connelly"),
(36,"Adolph","Darien"),
(37,"Earline_Nader","Serenity"),
(38,"Linwood","Stuart"),
(39,"Rodolfo.Erdman","Ramona.Lind"),
(40,"Leonard","Lazaro_Sipes"),
(41,"Destany.Torp","Joy"),
(42,"Albertha_Kovacek","Asha.Legros"),
(43,"Paxton_Ullrich","Dandre.Wintheiser"),
(44,"Mireille.Weissnat","Ocie_Koss"),
(45,"Hulda.Corkery","Moises"),
(46,"Katharina","Floy.Aufderhar"),
(47,"Nels.Mayer","Clare"),
(48,"Savanah","Fidel_Raynor"),
(49,"Erna_Dach","Kamryn.Gorczany"),
(50,"Tatyana","Danielle_Gislason"),
(51,"Zion.Kovacek","Velva.D'Amore"),
(52,"Nick","Hulda.Corkery"),
(53,"Destany.Torp","Jimmie"),
(54,"Irwin.Guªann","Afton.Lynch"),
(55,"Keanu_Rogahn","Geovanni"),
(56,"Isadore","Leanna_Schneider"),
(57,"Elwyn","Kaleb"),
(58,"Melba.Konopelski","Libby.Herzog"),
(59,"Adaline","Heaven"),
(60,"Imelda","Katelynn"),
(61,"Ezequiel","Wilber"),
(62,"Lauryn","Teresa_Bruen"),
(63,"Cleveland","Maye"),
(64,"Rachel","Waylon"),
(65,"Lucy.Ebert","Gino"),
(66,"Veda.Swift","Friedrich.Nicolas"),
(67,"Leopoldo.Leannon","Jeramy.Rolfson"),
(68,"Jesse.Dare","Israel.Cartwright"),
(69,"Josefina","Thurman.Eichmann"),
(70,"Dandre","Lamont"),
(71,"Lambert.Langosh","Colby_Hills"),
(72,"Foster_Prosacco","Maurine.Ferry"),
(73,"Tatyana","Felipa.Zboncak"),
(74,"Glen","Sid"),
(75,"Hailey.Willms","Norma_Trantow"),
(76,"Rachael","Giovanna"),
(77,"Lauryn","Liam.Runte"),
(78,"Jaiden_Rodriguez","Kailee_Rath"),
(79,"Alanis","Hilbert.Murray"),
(80,"Tanner","Ericka.Grant"),
(81,"Zachariah","Glen"),
(82,"Claude","Dario"),
(83,"Morgan_Sauer","Melany_Hauck"),
(84,"Merl_Friesen","Lucie.Mills"),
(85,"D'angelo","Janae_Wuckert"),
(86,"Susana","Justyn_Barrows"),
(87,"Helena","Angelo_Haley"),
(88,"Rose","Joy"),
(89,"Helmer","Rafael_Emmerich"),
(90,"Hilma","Idella"),
(91,"Lucas.Bailey","Rozella.Wilderman"),
(92,"Mara_Osinski","Kari.Tremblay"),
(93,"Ellie","Zoie"),
(94,"Zachary","Letha"),
(95,"Teresa_Bruen","Zoey_Green"),
(96,"Merl_Friesen","Jess_Kilback"),
(97,"Dina.Littel","Missouri_Jacobs"),
(98,"Missouri_Jacobs","Beryl_Grady"),
(99,"Monserrate","Earnest"),
(100,"Lilliana","Maia.Murphy"),
(101,"Logan","Darryl.Rippin"),
(102,"Haylee","Jeffry_Champlin"),
(103,"Stephan","Orlando"),
(104,"Joan_Bashirian","Leslie.Feeney"),
(105,"Deanna_Dach","Aidan"),
(106,"Hilton_Klocko","Agnes"),
(107,"Lemuel","Hunter"),
(108,"Samara","Delta"),
(109,"Nick","Mattie"),
(110,"Albina","Melany_Hauck"),
(111,"Lincoln","Emerson"),
(112,"Velma","Johathan"),
(113,"Jada","Sierra.Runte"),
(114,"Chesley","Talia_Boyer"),
(115,"Jeff","Harvey"),
(116,"Quinton_Prohaska","Piper.Schuster"),
(117,"Daniela_Parisian","Kelton"),
(118,"Demond.Connelly","Xzavier_Roob"),
(119,"Evans","Hiram_Hand"),
(120,"Yolanda","Noble_Ziemann"),
(121,"Rosalind","Kathleen_Nienow"),
(122,"Frances.Roob","Elda.Hahn"),
(123,"Louie.Hettinger","Hailey.Willms"),
(124,"Jaron","Maximillian"),
(125,"Martina.Boyle","Adriana"),
(126,"Jace","Jon_Howe"),
(127,"Sandrine.Ruecker","Coty"),
(128,"Javonte","Rosetta.Streich"),
(129,"Francis","Raoul_Kertzmann"),
(130,"Marlin","Karlee.Heidenreich"),
(131,"Emmalee","Kassandra.Ondricka"),
(132,"Thelma_Bernier","Sterling"),
(133,"Rodrigo","Jayde"),
(134,"Kylie","Tyreek.Fay"),
(135,"Lauryn","Susana"),
(136,"Name","Pat_Toy"),
(137,"Kirsten.Cassin","Eden"),
(138,"Brandt.Hilpert","Raleigh.Nikolaus"),
(139,"Ara_Osinski","Mossie"),
(140,"Akeem","Jimmie.Ritchie"),
(141,"Reagan_Rath","Lora"),
(142,"Rosalind","Billy"),
(143,"Dustin","Kamryn"),
(144,"Cary.Wiegand","Serenity"),
(145,"Aletha","Vada.Carroll"),
(146,"Makayla","Weldon_Waelchi"),
(147,"Erna","Ludie"),
(148,"Carissa_Price","Norma"),
(149,"Estella","Friedrich.Nicolas"),
(150,"Adolph","Carlos.Cormier"),
(151,"Cade","Zion_Lubowitz"),
(152,"Pink","Roxane"),
(153,"Dallin","Alfred"),
(154,"Shea","Maynard"),
(155,"Verlie.Lockman","Friedrich.Nicolas"),
(156,"Rosendo","Lawson.Jacobson"),
(157,"Leopoldo","Cecelia_Schuppe"),
(158,"Makayla","Hunter"),
(159,"Kendra_Willms","Terrance"),
(160,"Ludie","Noble_Ziemann"),
(161,"Jaycee_Conn","Maurine.Ferry"),
(162,"Jovany_Goyette","Sophia"),
(163,"Norval","Francis_Monahan"),
(164,"Stanford_White","Jared"),
(165,"Troy","Carli"),
(166,"Brian","Afton.Lynch"),
(167,"George_Wilderman","Jamey.Greenfelder"),
(168,"Cruz_Hilll","Minerva.Corkery"),
(169,"Norma","Emerald"),
(170,"Raleigh.Nikolaus","Carlee_Kohler"),
(171,"Chaim_Simonis","Maxie"),
(172,"Loyce.Rogahn","Hilbert.Murray"),
(173,"Levi.Rippin","Kristian.Lemke"),
(174,"Karson","Nichole.Walker"),
(175,"Maximilian","Ceasar_Eichmann"),
(176,"Dameon_Cronin","Lessie"),
(177,"Eusebio_Rice","Willard"),
(178,"Erna","Rosendo"),
(179,"Hadley","Max_Gorczany"),
(180,"Kallie.Rutherford","Corine"),
(181,"Tillman_VonRueden","Lamont"),
(182,"Kane.Champlin","Stephon_Nitzsche"),
(183,"Justen","Giovanna"),
(184,"Kurt_D'Amore","Vivienne"),
(185,"Dolores","Monte.Shields"),
(186,"Rosalind","Beryl_Grady"),
(187,"Colin_Kuphal","Jensen_Lemke"),
(188,"Yolanda","Edmond.Daniel"),
(189,"Isadore","Ashleigh"),
(190,"Caroline","Rogers"),
(191,"Bethel.Willms","Houston"),
(192,"Chaim_Simonis","Antone"),
(193,"Elvera.Hoppe","Sydney"),
(194,"Kallie.Rutherford","Gina_Bradtke"),
(195,"Fidel_Raynor","Willard"),
(196,"Derek.Auer","Laila.Eichmann"),
(197,"Skylar_Pagac","Georgette"),
(198,"Neil.Mante","Ruth_Trantow"),
(199,"Rebekah","Nadia.Littel"),
(200,"Thelma_Bernier","Angelo_Haley"),
(201,"Naomi","Jazmin"),
(202,"Libby.Herzog","Imelda"),
(203,"Anabelle","Enid_Waters"),
(204,"Jena","Ivah_Wehner"),
(205,"Celine","Maynard"),
(206,"Federico.Guªann","Kip"),
(207,"Jayne.Zemlak","Hassan_Becker"),
(208,"Charlene.Crona","Gwendolyn"),
(209,"Raleigh.Nikolaus","Katharina_Kozey"),
(210,"Zelma_Conn","Lamont"),
(211,"Lorena","Royce"),
(212,"Leopoldo.Leannon","Jamir"),
(213,"Dannie_Kshlerin","Ceasar_Eichmann"),
(214,"Federico.Guªann","Bernie"),
(215,"Arjun","Ressie"),
(216,"Rose","Clemens"),
(217,"Brian","Dena.Herman"),
(218,"Evalyn.Borer","Scottie"),
(219,"Kelley_Lemke","Raquel.Berge"),
(220,"Haylee","Joannie"),
